Book_Name,chapter,verse,sanskrit,translation,question,Commentary,English Verse,Chapter Name
Patanjali Yoga Sutras,2,7,सुखानुशयी रागः,Attachment is the cause of pleasurable experiences.,What is Attachment? What is the cause of desire? What is the cause of pleasure?,"Of course, an individual is attracted to a multitude of objects and individuals not previously experienced. What this Sutra is saying is that one’s strongest attractions are based on memories of having experienced pleasure.",sukhānuśayī rāgaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,8,दुःखानुशयी द्वेषः,Aversion is a cause of suffering(s).,What is Aversion? What is the cause of sufferings?,"When the concept of being detached is initially thought about, it would be common to focus solely on lessening our attachment to what we consider pleasurable. However, strong attachments also exist to our memories of what caused us suffering, such as mistreatment from our parents. It is necessary to also detach from these memories of suffering.",duḥkhānuśayī dveṣaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,9,स्वरसवाही विदुषोऽपि तथा रूढोऽभिनिवेशः,"Even the wise similar to a non-wise, instinctively fear death, perpetuating suffering.",Do the wise also fear death?,"This Sutra is pointing out that the dread of death is found in everyone, even the wisest of men.",svarasavāhī viduṣo ‘pi samārūḍho ‘bhiniveśaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,10,ते प्रतिप्रसवहेयाः सूक्ष्माः,These kleshas* (sufferings) are very subtle (hence not easily erased). They are eliminated only when the mind merges into its orgin.,When does one get rid of kleshas? Is it possible to destroy kleshas? Is it possible to end our suffering?,"Involution takes place when kaivalya, liberation, is achieved.",te pratiprasavaheyāḥ sūkṣmāḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,11,ध्यानहेयास्तद्वृत्तयः,"Through meditation, the fluctuations of mind that arise due to these kleshas* (sufferings) can be terminated.",How does meditation help in eliminating suffering?,"When the tendency to a worldly activity is present in our thoughts, it can be overcome through insights generated in meditation.",dhyānaheyāstadvṛttayaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,12,क्लेशमूलः कर्माशयो दृष्टादृष्टजन्मवेदनीयः,"The deposits of karma* (actions) are rooted in the causes of klesha* (suffering), which is experienced either in the future or in the present.",What is the relationship between kleshas and samskaras?,The kleshas are also the causes of our actions that relate to worldly pursuits. All such actions create a karma.,kleśamūlaḥ karmāśayo dṛṣtādṛṣṭajanmavedanīyaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,13,सति मूले तद्विपाको जात्यायुर्भोगाः,"As long as the root source i.e. klesha (suffering) exists, its contents will continue to result as - type of birth, span of life, and experience of life.",What are the effects of kleshas?,"This Sutra is stating that our karma determines our birth status, span of life and experiences in that life.",sati mūle tadvipāko jātyāyurbhogāḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,14,ते ह्लादपरितापफलाः पुण्यापुण्यहेतुत्वात्,"Each person's- type of birth, span of life, and experience of life, fructifes either as pleasure or pain, which is resultant of their past virtuous or viceful actions.",How does kleshas affect the experience of life?,This is the traditional explanation of the law of karma. The karmic reaction created by meritorious actions are pleasant experiences in the future. The karmic reaction created by nonmeritorious actions are unpleasant experiences in the future.,te hlādaparitāpaphalāḥ puṇyāpuṇyahetutvāt,Sādhana-pāda
Patanjali Yoga Sutras,2,15,परिणाम तापसंस्कार दुःखैर्गुणवृत्तिविरोधाच्च दुःखमेव सर्वं विवेकिनः,"The wise recognize that suffering is inherent in all experiences, whether it be the agony of the results of actions, or the pain of distress, or of the burden of latent impressions (samskaras*) filled with suffering, along with the constant struggle of the flutuations of the mind due to the fundamental qualities (gunas*) of nature.",Why are kleshas considered to be strong barriers in the path of Yoga? ,"An ordinary person focuses on the initial enjoyment that comes from experiences. A wise man, however, looks at it from the opposite point of view which is that all experiences eventually lead to sorrow.",pariṇāmatāpasaṃskāraduḥkhairguṇavṛttivirodhācca duḥkhameva sarvaṃ vivekinaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,16,हेयं दुःखमनागतम्,"However, it is possible to prevent suffering from arising altogether.",Is it possible to prevent sorrow from arising in our mind?,This is accomplished by acting free from the influences of the kleshas.,heyaṃ duḥkhamanāgatam,Sādhana-pāda
Patanjali Yoga Sutras,2,17,द्रष्टृदृश्ययोः संयोगो हेयहेतुः,The root cause of all suffering is the mistaken belief that pure awareness and the perception of awareness are inseparable.,What is the fundamental reason of sorrow? What is the root cause of sorrow?,"The idea of awareness, the experiencer, mistakenly identifying with what is experienced is found in a number of Sutras each of which gives emphasis to a different aspect of this phenomena. This Sutra brings out the aspect of  the core cause of the pattern of not understanding the true nature of  actions based in ignorance, I-am-ness, attraction, aversion and clinging to life can all be traced to the mistaken identify of the experiencer for what is experienced.",draṣṭṛdṛśyayoḥ saṃyogo heyahetuḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,18,प्रकाशक्रियास्थितिशीलं भूतेन्द्रियात्मकं भोगापवर्गार्थं दृश्यम्,"The phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",What are the characteristics of Drishya (the seen)? What is the relationship between the Seer and the Seen (Drasta and the Drishya)? What is the world composed of? What is the cause of sensual experience?,"Brightness (sattva), activity (rajas), inertia (tamas) is referring to the three gunas. Note the dual nature of the world: experience and liberation. Each purusha needs a certain amount of experience in the world before it is ready to transcend the world through achieving liberation.",prakāśakriyāsthitiśīlaṃ bhūtendriyātmakaṃ bhogāpavargārthaṃ dṛśyam,Sādhana-pāda
Patanjali Yoga Sutras,2,19,विशेषाविशेषलिङ्गमात्रालिङ्गानि गुणपर्वाणि,"The various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",What are the levels of Drishya (the seen)? What are the levels of nature? ,"The process of evolution, creation, starts at the level of the undifferentiate and works outward to finally reach the particularized. The process of involution starts at the level of the particularized and works inward to finally reach the undifferentiate.",viśeṣāviśeṣaliṅgamātrāliṅgāni guṇaparvāni,Sādhana-pāda
Patanjali Yoga Sutras,2,20,द्रष्टा दृशिमात्रः शुद्धोऽपि प्रत्ययानुपश्यः,"Pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",What are the attributes of Drishta (the Seer)? What are the attributes of consciousness? What are the attributes of awareness?,"Awareness views the contents of the mind. In doing so, it is unchanged.",draṣṭā dṛśimātraḥ śuddo ‘pi pratyayānupaśyaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,21,तदर्थ एव दृश्यस्यात्मा,The purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,Is the Drasta and the Drishya interdependent? Why did God create the world? Why did God create the universe?,"As mentioned in a previous Sutra, the “seen” provides awareness with both experience and liberation. This Sutra is emphasizing that the “seen” has no purpose in and of itself. Its purpose comes from the purusha utilizing it to gain experience and eventual liberation.",tadartha eva dṛśyasyātmā,Sādhana-pāda
Patanjali Yoga Sutras,2,22,कृतार्थं प्रतिनष्टमप्यनष्टं तदन्यसाधारणत्वात्,"Once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",Why does the Drishya perpetuates? Does the Drishya end? Does the world cease to exist when we achieve moksha? Does the world cease to exist when we achieve liberation? Does the world cease to exist when we achieve realisation?,"In achieving moksha we rise above the realm of prakriti and its manifestations and only experience purusha. Prakriti, for the liberated, is no more but for everyone else it is still there.",kṛtārthaṃ prati naṣṭamapyanaṣṭaṃ tadanyasādhāraṇatvāt,Sādhana-pāda
Patanjali Yoga Sutras,2,23,स्वस्वामिशक्त्योः स्वरूपोपलब्धिहेतुः संयोगः,"It is the apparent indivisibility of pure awareness and the phenomenal world (i.e. the concept of conjunction), that gives insight into the potency of both the possessor and the possessed.",What is the nature of the coupling or the association between the Drashta and the Drishya?,"Saying the same thing as before however this Sutra adds the idea of power, Shakti.",svasvāmiśaktyoḥ svarūpopalabdhihetuḥ saṃyogaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,24,तस्य हेतुरविद्या,The cause of this phenomenon (of conjunction) is ignorance.,What is the reason of the conjuntion between the Drashta and the Drishya? What causes Purusha to get associated with Prakriti?,Also stated before.,tasya heturavidyā,Sādhana-pāda
Patanjali Yoga Sutras,2,25,तदभावात्संयोगाभावो हानं तद्दृशेः कैवल्यम्,"When this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",What is Kaivalya? What happens in the state of liberation? What is state of liberation with respect to Drasta and Drishya? How can Purusha be disassociated with Prakriti?,This is the first Sutra to give a description to what happens to awareness when it no long identifies with the seen which is that the “power of awareness is alone.”,tadabhāvātsaṃyogābhāvo hānaṃ taddṛśeḥ kaivalyam,Sādhana-pāda
Patanjali Yoga Sutras,2,26,विवेकख्यातिरविप्लवा हानोपायः,"Unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of Ritambhara pragya (1.48) where even this prayga ceases).",What path leads one to Kailvalya or Liberation? What trait is required to get on the path towards Liberation? What path is to be followed after the mind gets established in the higher levels of meditation (Ritambhara Pragya)?,This relates back to the earlier Sutra mentioning cessation and gives us a specific practice for achieving kaivalya which is the unceasing discrimination as to the difference between the seer and the seen. Subsequent Sutras give other methods.,vivekakhyātiraviplavā hānopāyaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,27,तस्य सप्तधा प्रान्तभूमिः प्रज्ञा,"On this path of liberation, the one (yogi) with the wisdom of discriminative discernment extends to seven ultimate stages.",How many cognitive levels does the path towards liberation have?,"Commentator Vyasa gives a list of seven. There is no need to go through them all. I thought just the seventh one would be enough which is: “in the seventh state the insight reveals purusha abiding in-itself, pure and alone.”",tasya saptadhā prāntabhūmiḥ prajñā,Sādhana-pāda
Patanjali Yoga Sutras,2,28,योगाङ्गानुष्ठानादशुद्धिक्षये ज्ञानदीप्तिरा विवेकख्यातेः,"By practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",What practice leads on to the path towards liberation? What is the tool which enables one to cover the path towards liberation? How does Yoga establish one on the path towards liberation?,"This begins the section on the limbs of yoga. Practice causes three events to happen: First, impurities dwindle. Second, radiant knowledge manifests. Third, the ability to discriminate between the the seer and the seen manifests.",yogāṅgānuṣṭhānādaśuddhikṣaye jñānadīptirāvivekakhyāteḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,29,यमनियमासनप्राणायामप्रत्याहारधारणाध्यानसमाधयोऽष्टावङ्गानि,"Social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",What constitutes Astanga Yoga? How many limbs does Yoga have? What are the names of the limbs of Yoga? What is the eightfold path of Yoga?,"Here all eight limbs are mentioned. As there are eight limbs, Classical Yoga is also referred to as ashtanga yoga.",yamaniyamāsanaprāṇāyāmapratyāhāradhāraṇādhyānasamādhayo’ṣṭāvaṅgāni,Sādhana-pāda
Patanjali Yoga Sutras,2,30,अहिंसासत्यास्तेयब्रह्मचर्यापरिग्रहा यमाः,"The five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",What are social disciplines? How many social disciplines are there? What constitutes social disciplines? What are the names of social disciplines? What are yamas? What is yama?,"The yamas are the “ethical restraints”  which are the necessary foundation for the other seven limbs. Without their practice, no sustainable progress can be made in the more advanced practices. Patanjali only has five yamas. This expands into ten by the time of the various Yoga Upanishads such as the Sandilya.",ahiṃsāsatyāsteyabrahmacaryāparigrahā yamāḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,31,जातिदेशकालसमयानवच्छिन्ना सार्वभौमा महाव्रतम्,"These principles are solemn resolutions. They are not bound by one's social status, territory, specific time or any duration. They are universal.",When does social disciplines become firmly established? When does social disciplines become unshakable vows?,"This means, of course, we have to always be upholding them—no exceptions.",jātideśakālasamayānavacchinnāḥ sārvabhaumā mahāvratam,Sādhana-pāda
Patanjali Yoga Sutras,2,32,शौचसंतोषतपः स्वाध्यायेश्वरप्रणिधानानि नियमाः,"The five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to God.",How many personal observances are there? What are Niyamas? What constitutes personal observances? What are the names of all personal observances? What is niyama?,The second limb are the religious observances. They cover a diversity of important practices. Patanjali also only has five niyamas. This expands into ten by the time of the various Yoga Upanishads such as the Sandilya.,śaucasaṃtoṣatapaḥsvādhyāyeśvarapraṇidhānāni niyamāḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,33,वितर्कबाधने प्रतिपक्षभावनम्,Negative thoughts can be countered by developing positive ones.,What should be done to combat the negative feelings towards the practice of social disciplines and personal observances?,Here are two examples of cultivating opposites. The first is to replace the idea of harming someone with negative words with the idea of helping them through encouraging words. The second idea is replacing the idea of coveting what another has by finding a way to give something to them such as through hospitality.,vitarkabādhane pratipakṣabhāvanam,Sādhana-pāda
Patanjali Yoga Sutras,2,34,वितर्का हिंसादयः कृतकारितानुमोदिता लोभक्रोधमोहपूर्वका मृदुमध्याधिमात्रा दुःखाज्ञानानन्तफला इति प्रतिपक्षभावनम्,"Negative thoughts such as violence etc. arise from greed, anger, or attachment, and regardless of their intensity such as less, medium or excessive, inevitably lead to ignorance and suffering. Therefore, it is necessary to cultivate counteracting (i.e.positive) thoughts.",What are the features of negative feelings? What are the details of the negative feelings one encounters on the path of Yoga? What kind of negative feelings one faces in the path of Yoga and how to counter them?,"Usually when karma is thought about it is in the context of an individual performing an action and that action causing a reaction in the future. This Sutra points out the subtleties that even if you don’t perform the act  yourself but have caused others to do it or approved others to do it, that also creates a reaction in the future.",vitarkā hiṃsādayaḥ kṛtakāritānumoditā lobhakrodhamohapūrvakā mṛdumadhyādhimātrā duḥkhājñānānantaphalā iti pratipakṣabhāvanam,Sādhana-pāda
Patanjali Yoga Sutras,2,35,अहिंसाप्रतिष्ठायां तत्सन्निधौ वैरत्यागः,"When one is strongly rooted in non-violence, it fosters an environment (around that yogi) where others resign their hatred.",What are the merits of practicing non-violence? WHat happens when one gets firmly established in the virtue of non-violence?,This is the first of five Sutras that shows the benefit of mastering each of the yamas.,brahmacaryapratiṣṭhāyāṃ vīryalābhaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,36,सत्यप्रतिष्ठायां क्रियाफलाश्रयत्वम्,"Those who become firmly rooted in truthfulness, experience every action and its outcome in accordance with the truth.",What are the merits of practicing truthfulness? What happens when one gets firmly established in the virtue of truthfulness?,The idea here is that the power of truthfulness makes easier the successful completion of a course of action.,aparigrahasthairye janmakathaṃtāsambodhaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,37,अस्तेयप्रतिष्ठायां सर्वरत्नोपस्थानम्,"For those established in the virtue of non-stealing (or not accepting which is not their's), entire treasures are revealed.",What are the benefits of non-stealth? What happens when one firmly refrains from stealing?,Again a benefit is given.,śaucāt svāṅgajugupsā parairasaṃsargaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,38,ब्रह्मचर्यप्रतिष्ठायां वीर्यलाभः,Celibacy when deeply ingrained secures energy.,What is the worth of unshakable celibacy? Is celibacy useful in spirituality? Is celibacy useful?,Again a benefit is given.,sattvaśuddhisaumanasyaikāgryendriyajayātmadarśana-yogyatvāni ca,Sādhana-pāda
Patanjali Yoga Sutras,2,39,अपरिग्रहस्थैर्ये जन्मकथंतासंबोधः,"Being resolute in the state of non-greediness (desirelessness), the understanding of (previous) births is revealed. ",What is the reward of establishing oneself in the virtue of non-hoarding? Can we remember our past births?,Again a benefit is given.,saṃtoṣādanuttamasukhalābhaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,40,शौचात्स्वाङ्गजुगुप्सा परैरसंसर्गः,"Practicing cleanliness, one becomes free from the body's compulsions and from the need of (physically) associating with others.",What are the benefits of practicing (physical) cleanliness?,"This is the first of the niyama list. As with the yamas, a benefit for each is given.",kāyendriyasiddhiraśuddhikṣayāt tapasaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,41,सत्त्वशुद्धिसौमनस्यैकाग्र्येन्द्रियजयात्मदर्शनयोग्यत्वानि च,"Developing sattva through the practice of cleanliness (mental purification) leads to radiance, increased ability to focus, sense control, and ability for self-awareness.",What are the benefits of mental cleanliness?,"Further benefits are listed. The last statement, fitness for atma darshana, conveys the necessity of purity for experiencing the nature of the purusha.",svādhyāyād iṣṭadevatāsaṃprayogaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,42,संतोषादनुत्तमः सुखलाभः,Contentment brings an unmatched sense of joy.,What is the reward of cultivating contentment?,Again the benefit is given.,samādhisiddhirīśvarapraṇidhānāt,Sādhana-pāda
Patanjali Yoga Sutras,2,43,कायेन्द्रियसिद्धिरशुद्धिक्षयात्तपसः,"Through intense discipline, impurities are burned away, and the body and senses become highly refined.",What are the benefits of successful practice of austerity (intense discipline)? ,Again the benefit is given.,sthirasukham āsanam,Sādhana-pāda
Patanjali Yoga Sutras,2,44,स्वाध्यायादिष्टदेवतासंप्रयोगः,Self-reflection strengthens the connection with one's personal deity.,What is the merit of self reflection (self-study)? How can strengthen our relation with God?,Svadhyaya includes repetition of mantras. This Sutra is pointing out that you will develop greater closeness to a Deity by repeating that Deity’s mantra.,prayatnaśaithilyānantasamāpattibhyām,Sādhana-pāda
Patanjali Yoga Sutras,2,45,समाधिसिद्धिरीश्वरप्रणिधानात्,Devotion towards God or Ishvara* bestows the competence to attain samadhi* (liberation).,What is the reward for devotion towards God? What is the reward for devotion towards Ishvara?,"This Sutra means that effort and dedication can be supplemented by the blessings or grace we receive due to our intense devotion to God. In other words, it’s not just the devotion to God, its that the devotion to God opens an individual to receiving God’s blessings, God’s grace. And it’s the grace that transforms you. Or the blessings that transform you. It’s a two step process. The more devotion you have the more open you are to grace so the more blessings you’re able to receive which in this case can help you to move toward samadhi.",tato dvandvānabhighātaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,46,स्थिरसुखमासनम्,The body should actualize both steadiness and ease during a psychophysical posture.,What qualifies as psychophysical posture? What are the qualities of psychophysical posture?,"One’s meditation posture is directed related to how deep one’s meditation is. It is important to take time to find a posture that is comfortable. Once that has been achieved, then it is important to remain as motionless throughout the meditation as possible.",tasminsati śvāsapraśvāsayorgativicchedaḥ prāṇāyāmaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,47,प्रयत्नशैथिल्यानन्तसमापत्तिभ्याम्,"This is possible when all effort is relaxed, and a sense of unity between the body and the infinite universe emerges.",What is the means to achieve psychophysical posture? What is the method to establish oneself in psychophysical posture?,"Ananta samapatti is described as feeling you have the qualities of infinite space, that you extend out beyond your physical body into the surrounding environment, and then beyond that, etc. That is the visualization to focus on while at the same time simply relaxing.",bāhyābhyantarastambhavṛttirdeśakālasaṃkhyābhiḥ paridṛṣṭo dīrghasūkṣmaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,48,ततो द्वंद्वानभिघातः,"At this point, the dualities of opposites no longer disturbs one.",What is the marker to gauge the success in psychophysical posture? WHat is the fruit of performing asana? What is the effect of psychophysical posture? What does practice of psychophysical posture result in?,"Once properly established in asana, the meditator is no longer affected by conditions such as heat or cold. This relates to the soon to come practice of pratyahara which is more effective if the body is properly relaxed.",bāhyābhyantaraviṣayākṣepī caturthaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,49,तस्मिन्सति श्वासप्रश्वासयोर्गतिविच्छेदः प्राणायामः,"After the psychophysical posture is achieved, breath regulation follows. It happens when inhalations and exhalations are regulated.",What constitutes Pranayama? What constitutes Breath Control in Yoga? What is the prerequsite to the practice of breath control?,This refers to inhaling and delaying the subsequent exhalation as well as exhaling and then delaying the subsequent inhalation.,tataḥ kṣīyate prakāśāvaraṇam,Sādhana-pāda
Patanjali Yoga Sutras,2,50,बाह्याभ्यन्तरस्तम्भवृत्तिर्देशकालसंख्यामि परिदृष्टो दीर्घसूक्ष्मः,"(Breath regulation or Pranayama* has three dimensions) inhalation, exhalation, and the (various) pauses (kumbhakka*). By paying attention to the place, time and number of each aspects, they become more subtle and extended.","What are the types of Pranayama? What are the types of breath control? What are the names, types and details of the breath control?",Places denotes the location chosen in the body to remain focused upon. Time denotes the length of the inhalations and exhalations. Number stands for the number of repetitions.,dhāraṇāsu ca yogyatā manasaḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,51,बाह्याभ्यन्तरविषयाक्षेपी चतुर्थः,"In the fourth dimension (of breath regulation), the division between inhaling and exhaling disappears.",WHat is the fourth type of breath control called? What constitutes the fourth type of breath control?,The result of consciously regulating the breath for a period of time leads to the stage where the breath remains regulated without needing to consciously do so. It also can slow down significantly.,svaviṣayāsaṃprayoge cittasvarūpānukāra ivendriyāṇāṃ pratyāhāraḥ,Sādhana-pāda
Patanjali Yoga Sutras,2,52,ततः क्षीयते प्रकाशावरणम्,"Then, the concealer of the illumination (sattva*) fades.",What is the eventual outcome of breath control? ,The practice of pranayama internalizes the yogi enough so that the inner light that is always there is visible.,tataḥ paramā vaśyatendriyāṇām,Sādhana-pāda
Patanjali Yoga Sutras,2,53,धारणासु च योग्यता मनसः,"Also, the capability of the mind to concentrate (dharana*) is actualized.",What is the benefit of breath control? What is the pre-requisite for meditation in Yoga? ,The inner light is a sign post that the mind is sufficiently internalized that the practice of concentration will come easily.,deśabandhaḥ cittasya dhāraṇā,Sādhana-pāda
Patanjali Yoga Sutras,2,54,स्वविषयासंप्रयोगे चित्तस्वरूपानुकार इवेन्द्रियाणां प्रत्याहारः,"When the senses are disengaged from their respective sense objects and identifies with the nature of the chitta, then sense withdrawal (Pratyahara*) happens. ",What constitutes as withdrawl of the senses for meditation? What is withdrawl of the senses for meditation? ,We do something similar every night when we fall asleep. The difference is that in pratyahara after closing down the senses we remain conscious.,tatra pratyayaikatānatā dhyānam,Sādhana-pāda
Patanjali Yoga Sutras,2,55,ततः परमावश्यतेन्द्रियाणाम्,"Afterwards, the supreme mastery over the senses is attained.",What is the result of withdrawl of the senses for meditation? What is the fruit of withdrawl of the senses for meditation? What is the marker for success in withdrawl of the senses for meditation?,This Sutra is pointing out that the practice of pratyahara not only causes the senses to close off but gives the yogis self-control over them as well.,tadevārthamātranirbhāsaṃ svarūpaśūnyamiva samādhiḥ,Sādhana-pāda
Patanjali Yoga Sutras,3,1,देशबन्धश्चित्तस्य धारणा,Concentration/Attention is focusing on a single place.,How to focus? How to concentrate? What is concentration? What is focus?,"When the mind’s focus on a single object is uninterrupted and sustained, that is dharana or concentration.",trayamekatra saṃyamaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,2,तत्र प्रत्ययैकतानता ध्यानम्,"In meditation, one's entire perceptual experience becomes uninturreptedly aligned with that object.",What actually happens in meditation? How do we know we are meditating?,"The process of meditation is often compared to the pouring of oil from one vessel to another, in a steady, unbroken stream. In dharana the flow of knowledge can be compared to a succession of similar drops of water. In dhyana the flow of knowledge is continuous like the pouring of oil from one vessel to another, in a steady, unbroken stream.",tajjayātprajñālokaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,3,तदेवार्थमात्रनिर्भास स्वरूपशून्यमिव समाधिः,"When only the essence of that object (used for dhyana) remains, and (chitta's) own functions (other cognitive abilities) appears non-existent then samadhi* has been achieved.",How to know one has succeeded in developing focus or concentration? What is the sign of success in developing focus or concentration? How to develop single pointedness? How to acheive Shunyata?,"When the state of meditation becomes so deep that only the object stands by itself, obliterating, as it were, all traces of reflective thought, it is known as samadhi.",tasya bhūmiṣu viniyogaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,4,त्रयमेकत्र संयमः,"The pure state of cognition (samyama*) involves all the (above) three (concentration, meditative absorption, and integration towards a single object.) ",What is Samyama? What is Sanyam? What is the pure state of cognition?,The idea of practicing together is to first start with dharana on the chosen object. This will eventually lead to dhyana which will finally lead to samadhi.,trayamantaraṅgaṃ pūrvebhyaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,5,तज्जयात्प्रज्ञालोकः,"When one masters this discipline, light of wisdom dawns. [Stages of this wisdom has been mentioned in sutra 2.27]",What are the fruits or rewards of Samyama or Sanyam? How to develop insight? Why should one practice/develop concentration?,"Prajna, translated as mystical insight, refers to wisdom obtained from being in the state of samadhi. It is quite distinct from knowledge gained by inference or from tradition. It is based on direct perception (sakshatkara).",tadapi bahiraṅgaṃ nirbījasya,Vibhūti-pāda
Patanjali Yoga Sutras,3,6,तस्य भूमिषु विनियोगः,It (Samyama* or pure state of cognition) should be applied (sequentially) on various stages or planes (of refined cognition).,Why should one practice Yoga sequentially? What is the importance of doing Yoga sequentially?,Commentator Hariharananda states that there are four stages beginning with the objects of knowledge.,vyutthānanirodhasaṃskārayorabhibhavaprādurbhāvau nirodhakṣaṇacittānvayo nirodhapariṇāmaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,7,त्रयमन्तरङ्गं पूर्वेभ्यः,"These three limbs (concentration, absorption, and integration) are innermost with respect to the previous five.",What are the subtle paths of Yoga? How many subtle limbs of Yoga are there? How many categories are the eight paths of Yoga divided in? ,"The previous five are yama, niyama, asana, pranayama and pratyahara. These comprise the external, foundational practices. Dharana, dhyana and samadhi (samprajnata) are the internal practices.",tasya praśāntavāhitā saṃskārāt,Vibhūti-pāda
Patanjali Yoga Sutras,3,8,तदपि बहिरङ्गं निर्बीजस्य,"However, even these three are considered extrinsic with respect to the state of integration that bears no potential/seeds (Nirbeej Samadhi*). ",Which limb(s) of Yoga preceeds the deepest meditaive absorption? What happens when all the eight limbs of Astanga Yoga reach their conclusion?,"More internal than even dharana, dhyana and samprajnata samadhi is the objectless asmaprajnata samadhi.",sarvārthataikāgratayoḥ kṣayodayau cittasya samādhipariṇāmaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,9,व्युत्थाननिरोधसंस्कारयोरभिभवप्रादुर्भावौ निरोधक्षणचित्तान्वयो निरोधपरिणामः,The cyclical suppression of worldly or distracting smaskaras and emergence of restraining (nirodha*) samskaras eventually fades the former resulting in the frequent contact of the chitta with restraining samskaras. This enables the state of restraint or Nirodha-parinama*.,What happens when the 'nirodha' state of mind is achieved? How to know that the mind is controlled? How does the mind behave when it has been controlled? ,This is similar to the idea presented at the end of chapter one which focused on the samskaras generated in nirvichara samadhi. This is more general in saying that whenever restraint is employed new samskaras are generated which subjugate the externalizing (i.e. worldly) ones.,tataḥ punaḥ śāntoditau tulyapratyayau cittasyaikāgratāpariṇāmaḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,10,तस्य प्रशान्तवाहिता संस्कारात्,The unhinged fludity of the thoughts in the mind is due to the samskaras. ,Why does the mind behave in an uncontrolled manner? What is the reason for the continous thoughts on our mind? ,Restraint samskaras influence the mind to be without mental activity and therefore remain in a tranquil state.,etena bhūtendriyeṣu dharmalakṣaṇāvasthāpariṇāmā vyākhyātāḥ,Vibhūti-pāda
Patanjali Yoga Sutras,3,11,सर्वार्थतैकाग्रतयोः क्षयोदयौ चित्तस्य समाधिपरिणामः,"In the state of liberation (Samadhi parinama*), the chitta eliminates multi-pointedness and develops one-pointedness.",How does the mind behave when it enters deep concentration? What happens to chitta or the mind after liberation? What happens to chitta or the mind in samadhi?,This Sutra is pointing out another aspect of the influence of the restraining samskaras which is the mind’s tendency to be dispersed is lessening while its tendency to be drawn only to one object is increasing.,śantoditāvyapadeśyadharmānupātã dharmã,Vibhūti-pāda
Patanjali Yoga Sutras,3,12,ततः पुनः शान्तोदितौ तुल्यप्रत्ययौ चित्तस्यैकाग्रतापरिणामः,"Then, again, the one object or idea of focus present/arising on the chitta is identical to the one which subsides. This state is of one-pointedness (Ekagrata parinama*).",How does the mind behave during the process of deep meditation?,This Sutra is explaining what one-pointedness means. It is when our previous thought and our new thought are about the same subject.,kramānyatvaṃ pariṇāmānyatve hetuḥ,Vibhūti-pāda
